字彙	詞類	中文	註解	級數	學術字彙
superficial	adj.	膚淺的、表面的		High-Intermediate	
superintendent	noun	監管人、大樓管理員		High-Intermediate	
superior	adj./noun	較高的、較優秀的；上級		Intermediate	
superiority	noun	優越性、優勢		High-Intermediate	
supermarket	noun	超級市場		Elementary	
superpower	noun	超級大國		High-Intermediate	
supersonic	adj.	超音速的		High-Intermediate	
superstition	noun	迷信、迷信觀念		High-Intermediate	
superstitious	adj.	迷信的、有迷信觀念的		High-Intermediate	
supervise	verb	監督、管理		High-Intermediate	
supervision	noun	監督、管理		High-Intermediate	
supervisor	noun	主管人、指導者		Intermediate	
supper	noun	晚餐	= dinner	Elementary	
supplement	verb/noun	補充、添加；添加物		High-Intermediate	L9
supplementary	adj.	補充的		High-Intermediate	L9
supplier	noun	供貨商、供應者		High-Intermediate	
supply	noun/verb	供應品；供應、供給		Elementary	
support	noun/verb	支持；支持、支援		Elementary	
supporter	noun	支持者		Intermediate	
supportive	adj.	支持的、鼓勵的		High-Intermediate	
suppose	verb	認為、應當		Intermediate	
suppress	verb	鎮壓、抑制		High-Intermediate	
supreme	adj.	最高的、最大的		Intermediate	
sure	adj.	確定的		Elementary	
sure	adv.	當然		Elementary	
surely	adv.	一定、想必		Intermediate	
surf	noun/verb	浪花；衝浪		Elementary	
surface	noun	表面		Elementary	
surge	noun	大浪、波濤；(海浪的)洶湧、奔騰		High-Intermediate	
surge	verb	(數量)激增、(人群)蜂擁而入；(海浪)洶湧、奔騰		High-Intermediate	
surgeon	noun	外科醫生		Intermediate	
surgery	noun	外科手術		Intermediate	
surgical	adj.	外科的、外科手術的		High-Intermediate	
surpass	verb	超過、勝過		High-Intermediate	
surplus	noun/adj.	盈餘；剩餘的		High-Intermediate	
surprise	noun/verb	驚喜；使驚訝		Elementary	
surrender	verb/noun	投降、放棄		Intermediate	
surround	verb/noun	圍繞、圍住		Intermediate	
surroundings	noun	周圍事物、環境		Intermediate	
surveillance	noun	監視、看守、監督		High-Intermediate	
survey	noun/verb	(民意)調查；查看、審視		Intermediate	L2
survival	noun	生存、存活		Intermediate	L7
survive	verb	存活		Elementary	L7
survivor	noun 	倖存者、生還者		Intermediate	
susceptible	adj.	敏感的、容許…的		High-Intermediate	
suspect	verb/noun/adj.	懷疑；嫌疑犯；可疑的		Intermediate	
suspend	verb	懸掛、中止、暫時取消		Intermediate	L9
suspense	noun	不確定的狀態、懸疑		High-Intermediate	
suspension	noun	暫停、停學(職)		Intermediate	
suspicion	noun	懷疑		Intermediate	
suspicious	adj.	(令人)懷疑的		Intermediate	
sustain	verb	維持、遭受		High-Intermediate	L5
sustainable	adj.	可持續的；能長期保持的		High-Intermediate	
swallow	verb/noun	吞嚥、吞沒；一口的量		Intermediate	
swallow 	noun	燕子		Elementary	
swamp	noun	淹沒、應接不暇		High-Intermediate	
swamp	verb	沼澤		High-Intermediate	
swan	noun	天鵝		Elementary	
swap	verb/noun	交換；交換物		High-Intermediate	
swarm	noun	(昆蟲等的)群、蜂群、一大批		High-Intermediate	
swarm	verb	蜂擁、成群結隊地移動		High-Intermediate	
sway	verb/noun	使搖擺、動搖、說服；搖擺、支配		High-Intermediate	
swear	verb	發誓、罵髒話		Intermediate	
sweat	noun/verb	汗；流汗		Intermediate	
sweater	noun	毛衣		Elementary	
sweep	verb	掃		Elementary	
sweet	adj./noun	甜(蜜)的；甜食	noun = candy	Elementary	
swell	verb/noun	腫脹、增大、隆起；腫脹、增大、隆起處		Intermediate	
swift	adj.	迅速的、敏捷的		Intermediate	
swim	verb	游泳		Elementary	
swimsuit	noun	泳衣		Elementary	
swing	verb/noun	擺動、搖晃；鞦韆		Elementary	
switch	verb/noun	改變、交換；開關、改變		Intermediate	
swollen	adj.	膨脹的、腫大的		High-Intermediate	
sword	noun	劍		Intermediate	
syllable	noun	音節		Intermediate	
syllabus	noun	教學大綱		High-Intermediate	
symbol	noun	標誌、符號		Elementary	L5
symbolic	adj.	象徵性的、作為象徵的	= symbolical	High-Intermediate	L5
symbolism	noun	象徵主義、象徵手法		High-Intermediate	
symbolize	verb	象徵、代表		Intermediate	
symmetrical	adj.	對稱的		High-Intermediate	
symmetry	noun	對稱、相等		High-Intermediate	
sympathetic	adj.	有同情心的、支持的		Intermediate	
sympathize	verb	同情、支持		Intermediate	
sympathy	noun	同情心、支持		Intermediate	
symphony	noun	交響樂		Intermediate	
symposium	noun	研討會、座談會		High-Intermediate	
symptom	noun	症狀		Intermediate	
syndicate	noun/verb	財團；組成企業聯盟		High-Intermediate	
syndrome	noun	綜合症狀、典型表現		High-Intermediate	
synonym	noun	同義詞		High-Intermediate	
synonymous	adj.	同義的、等同於的		High-Intermediate	
syntactic	adj.	句法上的		High-Intermediate	
syntax	noun	句法、語構		High-Intermediate	
synthesis	noun	綜合、合成		High-Intermediate	
synthetic	adj./noun	人造的、合成的；合成物、合成纖維		High-Intermediate	
syrup	noun	糖漿		Intermediate	
system	noun	系統		Elementary	
systematic	adj.	有系統的		Intermediate	
table	noun	桌子		Elementary	
table tennis	noun	乒乓球運動	= ping-pong	Elementary	
tablecloth	noun	桌巾		Intermediate	
tablespoon	noun	餐匙		High-Intermediate	
tablet	noun	藥片		Intermediate	
tableware	noun	餐具		High-Intermediate	
tabloid	noun	通俗小報、平板電腦		High-Intermediate	
taboo	noun	禁忌、避諱		High-Intermediate	
tack	noun/verb	圖釘；(用釘)釘住		Intermediate	
tackle	verb	著手對付(或處理)、與...交涉；(美式足球中)擒抱阻截		High-Intermediate	
tackle	noun	(美式足球中的)擒抱阻截		High-Intermediate	
taco	noun	墨西哥煎玉米粉捲		High-Intermediate	
tact	noun	老練、圓通、機智		High-Intermediate	
tactic	noun	策略、手段		High-Intermediate	
tactical	adj.	策略上的、戰術上的		High-Intermediate	
tactics	noun	戰術、兵法		High-Intermediate	
tag	noun/verb	標籤；加標籤、附加		Intermediate	
Taichung	noun	台中		Elementary	
tail	noun	尾巴		Elementary	
tailor	noun/verb	裁縫師；專門訂做		Intermediate	
tailor-made	adj.	特製的、訂做的		High-Intermediate	
Tainan	noun	台南		Elementary	
Taiwan	noun	臺灣		Elementary	
Taiwanese	adj./noun	臺灣(人)的；臺灣人		Elementary	
take	verb	搭、帶、做		Elementary	
takeaway	noun	外賣餐館	 = carryout, takeout	High-Intermediate	
takeover	noun	收購、接管		High-Intermediate	
tale	noun	故事		Intermediate	
talent	noun	才能、天份		Elementary	
talk	verb/noun	談話；交談		Elementary	
talkative	adj.	健談的		Elementary	
tall	adj.	高的		Elementary	
tally	noun/verb	記錄；吻合、相符		High-Intermediate	
tame	adj./verb	馴服的；馴服		Intermediate	
tan	noun/verb	棕褐色、皮膚經日曬而成的褐色；曬黑		High-Intermediate	
tangerine	noun	橘子		Elementary	
tangle	noun/verb	糾結；纏結成一團		High-Intermediate	
tango	noun	(跳)探戈舞		High-Intermediate	
tank	noun	箱、槽、櫃、(盛放液體或氣體的)容器		Elementary	
tanker	noun	油罐車、油槽車		High-Intermediate	
tap	verb	輕拍、輕敲		Intermediate	
tap	noun	輕叩；(水)龍頭		Intermediate	
tape	noun/verb	磁帶、錄音帶；錄音		Elementary	L6
tar	noun/verb	瀝青、尼古丁；用柏油鋪		High-Intermediate	
tardy	adj.	遲緩的、遲到的		High-Intermediate	
target	noun/verb	目標；當作目標		Elementary	L5
tariff	noun	關稅、價目表		High-Intermediate	
tart	noun	水果餡餅		High-Intermediate	
task	noun	任務		Elementary	L3
taste	noun/verb	味道、品味；嚐		Elementary	
tasteful	adj.	有審美眼光的、高雅的		High-Intermediate	
tasteless	adj.	無味的、粗俗的		High-Intermediate	
tasty	adj.	可口的		Intermediate	
tattoo	noun	刺青		High-Intermediate	
taunt	noun/verb	嘲笑的言詞；嘲笑、奚落		High-Intermediate	
tavern	noun	酒館、小旅店、客棧		High-Intermediate	
tax	noun/verb	稅；課稅		Intermediate	
taxation	noun	稅金、稅制、課稅		High-Intermediate	
tax-free	adj.	免稅的		High-Intermediate	
taxi	noun	計程車	= taxicab, cab	Elementary	
taxpayer	noun	納稅人		High-Intermediate	
tea	noun	茶		Elementary	
teach	verb	教導		Elementary	
teacher	noun	老師		Elementary	
Teacher's Day	noun	教師節		Elementary	
team	noun	小組		Elementary	L9
teammate	noun	隊友		High-Intermediate	
teamwork	noun	聯合作業、協調合作		High-Intermediate	
teapot	noun	茶壺		Elementary	
tear 	noun	眼淚		Elementary	
tear 	verb	撕破		Elementary	
tease	verb/noun	取笑、逗弄		Intermediate	
teaspoon	noun	茶匙		High-Intermediate	
technical	adj.	技術的、專門的		Intermediate	L3
technician	noun	技術人員		Intermediate	
technique	noun	技巧、工藝		Intermediate	L3
technological	adj.	科技的		Intermediate	L3
technology	noun	科技		Intermediate	L3
tedious	adj.	冗長的、單調乏味的、囉嗦的		High-Intermediate	
teen	noun/adj.	青少年；十幾歲的		Intermediate	
teenage	adj.	十幾歲的		Intermediate	
teenager	noun	青少年		Elementary	
teens	noun	十幾歲、青少年們		High-Intermediate	
telecommunication	noun	電信、電訊		High-Intermediate	
telephone	noun/verb	電話；打電話	= phone	Elementary	
telescope	noun	望遠鏡		Intermediate	
televise	verb	電視播送		Intermediate	
television	noun	電視	= TV	Elementary	
tell	verb	告訴		Elementary	
teller	noun	出納員、提款機、敘述者		High-Intermediate	
temper	noun	脾氣、怒氣		Intermediate	
temper	verb	使緩和		Intermediate	
temperament	noun	氣質、性情		High-Intermediate	
temperature	noun	氣溫		Elementary	
tempest	noun	暴風雨、暴風雪		High-Intermediate	
temple	noun	廟		Elementary	
tempo	noun	節奏、速度		High-Intermediate	
temporary	adj.	暫時的		Intermediate	L9
tempt	verb	引誘、誘惑、勸誘		High-Intermediate	
temptation	noun	引誘、誘惑		High-Intermediate	
ten	number/pron./noun/adj.	十		Elementary	
tenant	noun	房客、租戶		Intermediate	
tend	verb	傾向、往往會		Intermediate	
tendency	noun	傾向、趨勢		Intermediate	
tender	adj.	嫩的、溫柔的		Intermediate	
tennis	noun	網球		Elementary	
tense	adj./verb	繃緊的、緊張的；繃緊		Intermediate	L8
tension	noun	繃緊、緊張		Intermediate	
tent	noun	帳篷		Elementary	
tentative	adj.	暫定的、不確定的、猶豫不定的		High-Intermediate	
term	noun	詞語、期間		Elementary	
term	verb	稱為		Elementary	
terminal	noun/adj.	終點、(航空或交通運輸的)終站；終點的、末期的		Intermediate	L8
terminate	verb	結束、終止		High-Intermediate	L8
termination	noun	結束、終止		High-Intermediate	
terminology	noun	術語、專門用語		High-Intermediate	
termite	noun	白蟻		High-Intermediate	
terrace	noun	露天平台、階梯看台、梯田		High-Intermediate	
terrain	noun	地勢、地形		High-Intermediate	
terrestrial	adj.	陸棲的、地球上的		High-Intermediate	
terrible	adj.	糟糕的		Elementary	
terrific	adj.	非常好的、可怕的		Elementary	
terrify	verb	使恐懼		Intermediate	
territorial	adj./noun	陸地的、陸生的；陸地生物		High-Intermediate	
territory	noun	領土		Intermediate	
terror	noun	恐懼、恐怖		Intermediate	
terrorism	noun	恐怖主義		High-Intermediate	
terrorist	noun	恐怖份子、恐怖主義者		High-Intermediate	
tertiary	adj.	第三的、第三級的		High-Intermediate	
test	noun/verb	測驗；測試		Elementary	
testament	noun	證據、證明		High-Intermediate	
testify	verb	作證、成為證據		High-Intermediate	
testimony	noun	證據、口供		High-Intermediate	
text	noun	正文、文本		Intermediate	L2
textbook	noun	教科書		Elementary	
textile	noun	紡織品		High-Intermediate	
textual	adj.	文本的		High-Intermediate	
texture	noun	質地、口感		High-Intermediate	
than	conj./prep.	比		Elementary	
thank	verb/noun	感謝；謝謝		Elementary	
thankful	adj.	感謝的		Intermediate	
Thanksgiving	noun	感恩節	= Thanksgiving Day	Elementary	
that	conj.	引導子句		Elementary	
that	pron./adj.	那個；那		Elementary	
that	adv.	那麼、那樣		Elementary	
the	art.	這、那		Elementary	
theater	noun	電影院	= theatre (British English)	Elementary	
theatrical	adj.	戲劇的、誇張的		High-Intermediate	
theft	noun	偷竊		Intermediate	
their	determiner	他們的		Elementary	
theirs	pron.	他們的		Intermediate	
them	pron.	他們		Elementary	
theme	noun	主題		Intermediate	L8
themselves	pron.	他們自己		Elementary	
then	adv./adj.	然後、那時候；在那時的		Elementary	
theoretical	adj.	理論上的		High-Intermediate	L1
theory	noun	學說、理論、看法		Intermediate	L1
therapist	noun	治療師		High-Intermediate	
therapy	noun	療法		Intermediate	
there	adv./noun	在那裡；那裡		Elementary	
thereafter	adv.	此後、以後		High-Intermediate	
thereby	adv.	因此、從而		High-Intermediate	L8
therefore	adv.	因此		Elementary	
thermal	adj./noun	熱量的、保暖的；上升暖氣流		High-Intermediate	
thermometer	noun	溫度計、體溫計		High-Intermediate	
thermos	noun	保溫瓶		High-Intermediate	
thesaurus	noun	同義詞詞典		High-Intermediate	
these	pron./adj.	這些；這些的		Elementary	
thesis	noun	學位論文		High-Intermediate	L7
they	pron.	他們		Elementary	
thick	adj.	厚的		Elementary	
thicken	verb	變厚、變濃、變稠		High-Intermediate	
thickness	noun	厚、厚度		High-Intermediate	
thief	noun	竊賊		Elementary	
thigh	noun	大腿		High-Intermediate	
thin	adj.	瘦的		Elementary	
thing	noun	東西、物品		Elementary	
think	verb	想		Elementary	
thinking	noun/adj.	思想、思考；有思考力的		Intermediate	
third	adj./adv./noun	第三的；居第三位；第三位		Elementary	
thirst	noun/verb	口渴、渴望		Intermediate	
thirsty	adj.	口渴的		Elementary	
thirteen	number/pron./noun/adj.	十三		Elementary	
thirty	number/pron./noun/adj.	三十		Elementary	
this	pron./adj.	這個；這		Elementary	
this	adv.	這麼、這樣		Elementary	
thorn	noun	(植物)刺、荊棘		High-Intermediate	
thorny	adj.	棘手的、引起爭議的、多刺的		High-Intermediate	
thorough	adj.	徹底的		Intermediate	
those	pron./adj.	那些；那些的		Elementary	
though	conj./adv.	雖然；還是		Elementary	
thought	noun	想法		Elementary	
thoughtful	adj.	體貼的、深思熟慮的		Intermediate	
thousand	number/pron./noun/adj.	千		Elementary	
thread	noun/verb	線、一絲；穿針線		Intermediate	
threat	noun	威脅		Intermediate	
threaten	verb	揚言要、威脅		Intermediate	
three	number/pron./noun/adj.	三		Elementary	
threshold	noun	門檻、閾值		High-Intermediate	
thrift	noun	節約、節儉		High-Intermediate	
thrifty	adj.	節約的、節儉的		High-Intermediate	
thrill	noun/verb	興奮感；使非常激動		High-Intermediate	
thriller	noun	驚悚小說(電影)		High-Intermediate	
thrive	verb	繁榮、茁壯成長		High-Intermediate	
throat	noun	咽喉		Elementary	
throb	verb/noun	抽動、抽痛、(強烈有節奏地)跳動；抽動、抽痛		High-Intermediate	
throne	noun	寶座、王位		High-Intermediate	
throng	noun/verb	一大群人；群集、擁向		High-Intermediate	
through	prep./adv.	通過、穿越		Elementary	
throughout	prep.	到處		Elementary	
throw	verb	丟		Elementary	
thrust	verb	猛推、刺、塞		High-Intermediate	
thrust	noun	猛推、驅動力；(論據)要點、目標		High-Intermediate	
thumb	noun	拇指		Elementary	
thunder	noun/verb	雷(聲)；打雷		Elementary	
thunderbolt	noun	雷電、晴天霹靂		High-Intermediate	
thunderous	adj.	雷鳴般的、怒氣沖沖的		High-Intermediate	
thunderstorm	noun	雷雨		Intermediate	
Thursday	noun	星期四	= Thurs./Thur.	Elementary	
thus	adv.	因此		Elementary	
tick	noun	滴答聲；勾號		High-Intermediate	
tick	verb	發出滴答聲；打勾		High-Intermediate	
ticket	noun	票、罰單		Elementary	
tickle	verb	搔癢、發癢		Intermediate	
tide	noun	潮汐、趨勢		Intermediate	
tidy	adj./verb	整齊的；整理		Elementary	
tie 	noun	領帶、平手		Elementary	
tie 	verb	捆、繫		Elementary	
tiger	noun	老虎		Elementary	
tight	adj./adv.	緊的；緊地		Intermediate	
tighten	verb	使變緊、加強		Intermediate	
tile	noun/verb	磁磚、地磚、瓦片；鋪瓦、貼磁磚		High-Intermediate	
till	prep./conj.	直到	= until	Elementary	
tilt	verb/noun	傾斜、偏向		High-Intermediate	
timber	noun	樹木、木材		Intermediate	
time	noun/verb	時間；計時		Elementary	
timeless	adj.	無時間性的、永久的		High-Intermediate	
timely	adj.	及時的、適時的		High-Intermediate	
timeout	noun	(運動)暫停、(工作)休息時間		High-Intermediate	
timer	noun	計時器		High-Intermediate	
timetable	noun/verb	時間表；為…安排時間		Intermediate	
timid	adj.	膽怯的		Intermediate	
timing	noun	定時、時間的安排、時機的掌握、節奏		High-Intermediate	
tin	noun	錫、罐		Intermediate	
tinkle	verb	發出叮噹聲		High-Intermediate	
tint	noun	淺色彩、(一層)淡色、染髮劑		High-Intermediate	
tiny	adj.	極小的、微小的		Elementary	
tip	noun	小費；提示；頂端		Elementary	
tip	verb	給小費		Elementary	
tiptoe	verb/noun	踮腳、躡手躡腳		Intermediate	
tire	noun	輪胎	= tyre (British English)	Intermediate	
tire	verb	使疲勞		Intermediate	
tiresome	adj.	令人厭煩的		Intermediate	
tissue	noun	面紙、(動植物)組織		Intermediate	
title	noun	標題		Elementary	
to 	prep./inf.	到		Elementary	
toad	noun	蟾蜍、討厭的人		High-Intermediate	
toady	noun/verb	馬屁精；拍馬屁		High-Intermediate	
toast 	noun	吐司；敬酒		Elementary	
toast 	verb	烤吐司、烤；乾杯		Elementary	
tobacco	noun	煙草		Intermediate	
today	adv./noun	今天		Elementary	
toddle	verb	(幼兒)蹣跚行走、溜躂		High-Intermediate	
toddler	noun	學步的兒童		High-Intermediate	
toe	noun	腳趾		Elementary	
tofu	noun	豆腐	= bean curd	Elementary	
together	adv.	一起		Elementary	
toil	verb/noun	辛勞工作、跋涉；苦工		High-Intermediate	
toilet	noun	馬桶、衛生間		Elementary	
token	adj./noun	裝樣子的、敷衍的；代幣、象徵		High-Intermediate	
tolerable	adj.	可容忍的、還可以的		Intermediate	
tolerance	noun	寬容、忍耐		Intermediate	
tolerant	adj.	寬容的、忍耐的		Intermediate	
tolerate	verb	寬容、忍耐		Intermediate	
toll	noun	通行費；傷亡人數；鳴(喪)鐘		High-Intermediate	
toll	verb	向...徵收捐稅(或通行費等)		High-Intermediate	
tollbooth	noun	收費站		High-Intermediate	
tollway	noun	收費公路		High-Intermediate	
tomato	noun	番茄		Elementary	
tomb	noun	墳墓		Intermediate	
tomorrow	adv./noun	明天		Elementary	
ton	noun	噸、大量		Intermediate	
tone	noun/verb	腔調、語氣；調和		Intermediate	
tongue	noun	舌頭		Elementary	
tonic	noun	奎寧水、補藥、使人振作之物		High-Intermediate	
tonight	adv./noun	今晚		Elementary	
tonne	noun	公噸		High-Intermediate	
too	adv.	也		Elementary	
tool	noun	工具		Elementary	
tooth	noun	牙齒		Elementary	
toothache	noun	牙痛		Elementary	
toothbrush	noun	牙刷		Elementary	
toothpaste	noun	牙膏		Intermediate	
top	noun/adj./verb	頂部；頂部的；到頂部		Elementary	
topic	noun	主題		Elementary	L7
topical	adj.	熱門話題的		High-Intermediate	L7
topping	noun	(食物)上面的配料		High-Intermediate	
topple	verb	倒塌、打翻		High-Intermediate	
torch	noun/verb	火把；放火燒		Intermediate	
torment	noun/verb	痛苦、煩惱；使痛苦、煩擾		High-Intermediate	
tornado	noun	龍捲風		Intermediate	
torrent	noun	急流、連續不斷		High-Intermediate	
tortoise	noun	陸龜		Intermediate	
torture	verb/noun	拷打、使痛苦；酷刑、折磨		High-Intermediate	
toss	verb/noun	拋、投、擲		Intermediate	
total	adj./noun/verb	總數的；總數；合計		Elementary	
touch	verb/noun	接觸、觸摸；觸覺、觸摸		Elementary	
touching	adj.	令人同情的、感人的		High-Intermediate	
touchy	adj.	易怒的、敏感的		High-Intermediate	
tough	adj.	堅強的、困難的、強硬的		Intermediate	
tour	noun/verb	旅遊、遊覽		Elementary	
tourism	noun	觀光(業)		Intermediate	
tourist	noun	遊客、觀光客		Intermediate	
tournament	noun	錦標賽		High-Intermediate	
tow	verb/noun	拖、拉、牽引		Intermediate	
toward	prep.	朝著	= towards	Elementary	
towel	noun	毛巾、紙巾		Elementary	
tower	noun	塔		Elementary	
town	noun	城鎮		Elementary	
township	noun	鎮區、(南非種族隔離時期)黑人區		High-Intermediate	
toxic	adj.	有毒的、引起中毒的		High-Intermediate	
toy	noun	玩具		Elementary	
trace	verb/noun	追蹤；痕跡		Elementary	L6
track	noun/verb	軌道、足跡；跟蹤、追蹤		Elementary	
tract	noun	(連通身體組織器官的)管道、大面積的土地		High-Intermediate	
tractor	noun	拖拉機、牽引機		High-Intermediate	
trade	noun/verb	貿易；交易		Elementary	
trade-in	noun	折舊換新		High-Intermediate	
trademark	noun	商標、特徵		Intermediate	
trade-off	noun	權衡、協調		High-Intermediate	
trader	noun	商人、證券交易人		Intermediate	
tradition	noun	傳統		Elementary	L2
traditional	adj.	傳統的		Elementary	
traffic	noun	交通		Elementary	
tragedy	noun 	悲劇		Intermediate	
tragic	adj.	悲劇的、悲慘的		Intermediate	
trail	noun/verb	蹤跡、小道；拖曳		Intermediate	
trailer	noun	拖車；電影預告片		High-Intermediate	
train 	noun	火車		Elementary	
train 	verb	訓練		Elementary	
trainee	noun	實習生		High-Intermediate	
training	noun	訓練		Intermediate	
trait	noun	(個性)特徵		High-Intermediate	
traitor	noun	叛徒、賣國賊		High-Intermediate	
traitorous	adj.	背叛的、叛國的		High-Intermediate	
tramp	verb	重步行走		High-Intermediate	
tramp	noun	沉重的腳步聲；流浪漢		High-Intermediate	
trample	verb/noun	踐踏		High-Intermediate	
tranquil	adj.	平靜的、靜謐的		High-Intermediate	
tranquilize	verb	使鎮定		High-Intermediate	
tranquilizer	noun	鎮定劑		High-Intermediate	
transaction	noun	交易、辦理		High-Intermediate	
transcend	verb	超出、超越界線		High-Intermediate	
transcendent	adj.	卓越的、傑出的		High-Intermediate	
transcribe	verb	抄錄、轉錄(為另一種形式)		High-Intermediate	
transcript	noun	抄本、謄本、成績單		High-Intermediate	
transcription	noun	抄寫、謄寫		High-Intermediate	
transfer	noun/verb	調動、搬遷		Intermediate	L2
transform	verb	改變、改造		Intermediate	L6
transformation	noun	(徹底的)變化、改革		High-Intermediate	L6
transformer	noun	變壓器		High-Intermediate	
transient	adj./noun	短暫的、稍縱即逝的、過往的；短期住客	= transitory	High-Intermediate	
transistor	noun	電晶體		High-Intermediate	
transit	noun/verb	運輸(系統)、過境；運送過、通過		High-Intermediate	L5
transition	noun	過渡、轉變		High-Intermediate	
translate	verb	翻譯		Intermediate	
translation	noun	翻譯		Intermediate	
translator	noun	翻譯、譯者		Intermediate	
transmission	noun	傳送、傳染、(電台或電視)播送		High-Intermediate	L7
transmit	verb	播送、傳染、傳導(熱、光)		High-Intermediate	L7
transparency	noun	透明度、幻燈片		High-Intermediate	
transparent	adj.	透明的、易看穿的		High-Intermediate	
transplant	noun/verb	移植(器官等)		Intermediate	
transport	noun/verb	運輸、交通工具；運送		Intermediate	L6
transportation	noun	運輸		Intermediate	L6
trap	verb/noun	設陷阱；陷阱		Elementary	
trash	noun/verb	垃圾；丟棄、損壞		Elementary	
trauma	noun	精神創傷、外傷		High-Intermediate	
traumatic 	adj.	痛苦難忘的、造成精神創傷的		High-Intermediate	
travel	verb/noun	旅行		Elementary	
traveler	noun	旅行者	= traveller (British English)	Intermediate	
traveling	adj.	旅行的、巡迴的	= travelling (British English)	Intermediate	
traverse	verb/noun	穿過、橫越		High-Intermediate	
tray	noun	托盤		Intermediate	
treacherous	adj.	凶險的、不忠的		High-Intermediate	
tread	verb/noun	踩、踏；步伐、腳步聲		High-Intermediate	
treason	noun	叛國罪		High-Intermediate	
treasure	noun/verb	寶藏；珍惜		Elementary	
treasury	noun	財政部、寶庫		High-Intermediate	
treat	verb/noun	治療、請客		Elementary	
treatment	noun	治療		Elementary	
treaty	noun	條約		Intermediate	
tree	noun	樹		Elementary	
trek	verb/noun	長途跋涉、徒步旅行		High-Intermediate	
tremble	verb/noun	發抖、震顫		Intermediate	
tremendous	adj.	巨大的、極大的		Intermediate	
tremor	noun	顫抖、輕微地震		High-Intermediate	
trench	noun/verb	溝、戰壕；挖掘戰壕		High-Intermediate	
trend	noun	趨勢		Intermediate	L5
trespass	verb/noun	擅自進入、侵占		High-Intermediate	
trial	noun	嘗試		Elementary	
triangle	noun	三角形		Elementary	
tribal	adj.	部落的、部族的		High-Intermediate	
tribe	noun	部落		Intermediate	
tribunal	noun	特別法庭		High-Intermediate	
tribute	noun	頌詞、進貢		High-Intermediate	
trick	noun/verb	把戲；騙		Elementary	
tricky	adj.	狡猾的、難對付的		Intermediate	
trifle	noun/verb	少量、瑣事；輕視、戲弄		High-Intermediate	
trigger	noun/verb	扳機、誘因；觸發、起動		High-Intermediate	L9
trillion	noun	兆、大量		High-Intermediate	
trim	verb/noun	修剪、削減		High-Intermediate	
trim	adj.	苗條的、整齊的		High-Intermediate	
trio	noun	三人(個)一組、三重奏		High-Intermediate	
trip	noun	旅行		Elementary	
triple	adj./verb	三部分的、三倍的；增至三倍		High-Intermediate	
triumph	noun/verb	(大)勝利、成功		Intermediate	
triumphant	adj.	大獲全勝的、歡欣鼓舞的		High-Intermediate	
trivial	adj.	不重要的、瑣碎的		High-Intermediate	
trolley	noun	手推車、電車	= tram, tramcar, streetcar	High-Intermediate	
troop	noun/verb	軍隊、一群；成群結隊而行		Intermediate	
trophy	noun	獎品、獎盃、戰利品		High-Intermediate	
tropic	noun/adj.	回歸線、熱帶；熱帶的		High-Intermediate	
tropical	adj.	熱帶的		Intermediate	
trot	verb/noun	小跑、快步走		High-Intermediate	
trouble	noun/verb	麻煩；使煩惱		Elementary	
troublesome	adj.	令人煩惱的		Intermediate	
trousers	noun	褲子	= pants (American English)	Elementary	
trout	noun	鱒魚		High-Intermediate	
truant	noun/adj./verb	逃學生；怠忽職守的；曠課、逃學		High-Intermediate	
truce	noun	停戰協定		High-Intermediate	
truck	noun	卡車		Elementary	
true	adj.	真實的		Elementary	
truly	adv.	真誠的、確實		High-Intermediate	
trumpet	noun	小號		Elementary	
trunk	noun	樹幹		Intermediate	
trust	noun/verb	相信、信任		Elementary	
trustee	noun	受託人、信託公司		High-Intermediate	
truth	noun	真理、真相		Elementary	
truthful	adj.	誠實的、真實的		Intermediate	
try	verb/noun	嘗試		Elementary	
T-shirt	noun	圓領汗衫	= tee-shirt	Elementary	
tub	noun	盆、桶、浴缸		Elementary	
tube	noun	管子、地鐵	地鐵 = underground, railway	Intermediate	
tuberculosis	noun	結核病	= TB	High-Intermediate	
tuck	verb/noun	把…塞進；打褶		High-Intermediate	
Tuesday	noun	星期二	= Tues./Tue.	Elementary	
tug	verb/noun	拉、拖		Intermediate	
tug-of-war	noun	拔河、激烈競爭		High-Intermediate	
tuition	noun	學費、教學		High-Intermediate	
tulip	noun	鬱金香		Intermediate	
tumble	verb/noun	跌倒、倒塌		Intermediate	
tumor	noun	腫瘤、腫塊	= tumour (British English)	High-Intermediate	
tuna	noun	鮪魚		High-Intermediate	
tune	noun/verb	曲調；調音		Intermediate	
tunnel	noun	隧道		Elementary	
turbine	noun	渦輪機、汽輪機		High-Intermediate	
turbulent	adj.	動盪的、猛烈的		High-Intermediate	
turkey	noun	火雞		Elementary	
turmoil	noun	動亂、騷動、焦慮		High-Intermediate	
turn	verb	轉(彎)		Elementary	
turn	noun	一次機會		Elementary	
turnover	noun	營業額、翻轉、周轉率		High-Intermediate	
turtle	noun	龜		Elementary	
tutor	noun/verb	家庭教師；指導、當家教		Intermediate	
TV	noun	電視	= television	Elementary	
twelve	number/pron./noun/adj.	十二		Elementary	
twenty	number/pron./noun/adj.	二十		Elementary	
twice	adv.	兩次		Elementary	
twig	verb	明白、領悟		High-Intermediate	
twig	noun	細枝		Intermediate	
twilight	noun	暮色、黃昏		High-Intermediate	
twin	noun/adj./verb	雙胞胎；雙胞胎的；使相連		Intermediate	
